1788458056.583932172,981
1788458057.102151659,981
1788458057.622399094,984
1788458058.143462928,984
1788458058.660883164,984
1788458059.178928800,984
1788458059.699651829,984
1788458060.220534763,984
1788458060.742601714,1016
1788458061.264968127,1016
1788458061.784901005,1016
1788458062.308569298,1016
1788458062.829699329,1016
1788458063.350110806,1016
1788458063.870741959,1016
1788458064.392097002,1016
1788458064.910771560,1016
1788458065.430245775,1016
1788458065.950263758,1016
1788458066.470424717,1016
1788458066.991087720,1016
1788458067.511227820,1016
1788458068.031940859,1016
1788458068.554775673,1016
1788458069.079721011,1016
1788458069.600308883,1016
1788458070.122554141,1016
1788458070.641096979,1016
1788458071.160729540,1016
1788458071.678225343,1016
1788458072.197954319,1016
1788458072.716650003,1016
1788458073.235272721,1016
1788458073.754220294,1016
1788458074.275080204,1016
1788458074.795689010,1016
1788458075.319604159,1474
1788458075.839365512,1582
1788458076.361571468,1582
1788458076.879192618,1582
1788458077.398106887,1582
1788458077.921208933,1582
1788458078.452013316,1582
1788458078.984262547,1582
1788458079.520179679,1582
1788458080.044900538,1582
1788458080.563606983,1582
1788458081.090694991,1582
1788458081.612719221,1582
1788458082.134196998,1582
1788458082.652461946,1582
1788458083.170580248,18810
1788458083.692499843,19404
1788458084.213155550,19434
1788458084.732518283,22022
1788458085.251549180,22022
1788458085.772481298,22082
1788458086.293472899,22082
1788458086.815605174,22082
1788458087.335970612,22082
1788458087.855762857,22082
1788458088.375194826,22082
1788458088.895685640,22082
1788458089.415672788,22082
1788458089.936451096,22082
1788458090.455329508,22082
1788458090.976792904,22120
1788458091.495600876,22084
