1788459132.447094973,1057
1788459132.966168482,1057
1788459133.489855586,1059
1788459134.009391364,1059
1788459134.528040726,1059
1788459135.048146723,1059
1788459135.568854249,1059
1788459136.089119207,1059
1788459136.608337421,1059
1788459137.130330517,1059
1788459137.649449174,1059
1788459138.171616248,1059
1788459138.691784218,1059
1788459139.213390958,1059
1788459139.733490102,1059
1788459140.253437547,1059
1788459140.773247230,1059
1788459141.292093938,1059
1788459141.812514510,1059
1788459142.331846102,1059
1788459142.849148852,1059
1788459143.370738368,1059
1788459143.888951589,1059
1788459144.408107144,1059
1788459144.925812047,1059
1788459145.444617757,1059
1788459145.963180272,1059
1788459146.482856238,1059
1788459147.002917580,1059
1788459147.522712882,1059
1788459148.043101101,1059
1788459148.565360623,1059
1788459149.089439634,1059
1788459149.610744324,1059
1788459150.132250339,1401
1788459150.648021333,1619
1788459151.172036213,1625
1788459151.690736865,1625
1788459152.216745304,1625
1788459152.748801656,1625
1788459153.266363564,1625
1788459153.791103798,1625
1788459154.322542018,1625
1788459154.845798611,1625
1788459155.367380279,1625
1788459155.892497151,1625
1788459156.413603123,1625
1788459156.935506230,17511
1788459157.454139266,18129
1788459157.973916292,18157
1788459158.496676152,20785
1788459159.016385512,20785
1788459159.537920074,20845
1788459160.057991761,20845
1788459160.580448074,20845
1788459161.102542100,20845
1788459161.623283370,20845
1788459162.144672079,20845
1788459162.666529005,20845
1788459163.186994356,20845
1788459163.709547308,20845
1788459164.229636781,20845
1788459164.749118608,20845
1788459165.269464847,20883
